TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1578922367.777150;1;14FEF131;1;8;8;0;0;0;CFFFFFF300FFFF30
1578922367.777750;1;10F01A01;1;8;8;0;0;0;2448FFFFFFFFFFFF
1578922367.778300;1;CF00400;1;8;8;0;0;0;107D82BD1200F482
1578922367.778900;1;14FF0121;1;8;8;0;0;0;FFFFFFFFFFFFFCFF
1578922367.779500;1;18F0000F;1;8;8;0;0;0;007DFFFF0F7DFFFF
1578922367.780050;1;18FFA03D;1;8;8;0;0;0;2228240019001AFF
1578922367.780600;1;10FCFD01;1;8;8;0;0;0;FFFFFFFF1623FFFF
1578922367.781200;1;18FD9401;1;8;8;0;0;0;A835FFFFA9168F03
1578922367.781750;1;18FDA101;1;8;8;0;0;0;1224FFFFFFFF00FF
1578922367.782350;1;18F00E3D;1;8;8;0;0;0;741DFFFFFFFFFFFF
1578922367.782950;1;18F00F3D;1;8;8;0;0;0;B40FFFFFFFFFFFFF
1578922367.783500;1;10FDA301;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.784100;1;18FDAA01;1;8;8;0;0;0;FFFFFFFFFFFFFF33
1578922367.784700;1;18FDD001;1;8;8;0;0;0;FFFFFF0033FFFFFF
1578922367.785350;1;1CFE9201;1;8;8;0;0;0;FF0071FFFFFFFFFF
1578922367.786000;1;18FEDB01;1;8;8;0;0;0;FC22FC22FC22FFFF
1578922367.786600;1;18FFA13D;1;8;8;0;0;0;FA06010A27000001
1578922367.787150;1;CF00421;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.787850;1;CF00400;1;8;8;0;0;0;107D82BF1200F482
1578922367.788450;1;14FF0221;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.789050;1;18FF3000;1;8;8;0;0;0;0000AFFFFFFFFFFF
1578922367.797050;1;14FDA421;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.797750;1;CF00400;1;8;8;0;0;0;007D82C11200F482
1578922367.798350;1;CF00300;1;8;8;0;0;0;DD0008FFFFFF6EFF
1578922367.798950;1;14FFA000;1;8;8;0;0;0;FCFFFFFFFFFFFFFF
1578922367.799550;1;18FEF200;1;8;8;0;0;0;26000000F304FFFF
1578922367.803000;1;14FF3131;1;8;8;0;0;0;0030030000FFFFF0
1578922367.807050;1;14FEF031;1;8;8;0;0;0;FFFFFFFFFFFC00FF
1578922367.807850;1;CF00400;1;8;8;0;0;0;007D82C31200F482
1578922367.808450;1;10FF2121;1;8;8;0;0;0;32000FC0C0FFFFBB
1578922367.809000;1;18FEDF00;1;8;8;0;0;0;810013FF7D7D03FF
1578922367.810200;1;18FEBF0B;1;8;8;0;0;0;00007D7D7D7DFFFF
1578922367.813400;1;18EA4A17;1;3;3;0;0;0;E6FE00
1578922367.813800;1;18EA4A17;1;3;3;0;0;0;E8FE00
1578922367.814400;1;18FD0517;1;8;8;0;0;0;03033FFFFFFFFFFF
1578922367.814950;1;18FEF717;1;8;8;0;0;0;FFFFFFFF1B01FFFF
1578922367.815500;1;18FEFA17;1;8;8;0;0;0;FFC8BCFFFFFFFFFF
1578922367.816100;1;18FF1817;1;8;8;0;0;0;000000400000FFFF
1578922367.816700;1;18F0233D;1;8;8;0;0;0;FFFFFFFFFF2BFFFF
1578922367.817250;1;18FF1917;1;8;8;0;0;0;47FFFFFF000000E0
1578922367.817850;1;18FECA17;1;8;8;0;0;0;00FF00000000FFFF
1578922367.818400;1;CF00400;1;8;8;0;0;0;707D81C51200F482
1578922367.818950;1;18FEFC17;1;8;8;0;0;0;FF8BFFFFFFFFFFFF
1578922367.819550;1;18FEF117;1;8;8;0;0;0;F7FFFFFFFFFFFFFF
1578922367.820150;1;18FD0417;1;8;8;0;0;0;C0FFFFFFFFFFFFFF
1578922367.820700;1;18FEC117;1;8;8;0;0;0;28F28905FFFFFFFF
1578922367.821300;1;18FE4F3E;1;8;8;0;0;0;0400FFFFFFFFFFFF
1578922367.822500;1;CFF0381;1;8;8;0;0;0;0000000000000007
1578922367.826150;1;18F0010B;1;8;8;0;0;0;C0FFF0FFFF0DFF3F
1578922367.826700;1;CF00A01;1;8;8;0;0;0;00007214FFFFFFFF
1578922367.827300;1;10F01A01;1;8;8;0;0;0;0448FFFFFFFFFFFF
1578922367.827900;1;CF00400;1;8;8;0;0;0;707D81C51200F482
1578922367.828500;1;18FEF000;1;8;8;0;0;0;FFFFFF0000F000FF
1578922367.829750;1;18F00E3D;1;8;8;0;0;0;741DFFFFFFFFFFFF
1578922367.830350;1;18F00F3D;1;8;8;0;0;0;B40FFFFFFFFFFFFF
1578922367.830950;1;18FD8C3D;1;8;8;0;0;0;05000300FFFFFFFF
1578922367.831550;1;18FDB23D;1;8;8;0;0;0;FFFF7C360500FFFF
1578922367.832100;1;18FDB300;1;8;8;0;0;0;FFFF243DFFFFFFFF
1578922367.832700;1;18FDB400;1;8;8;0;0;0;76337633FFFFFFFF
1578922367.833300;1;18A9FE31;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.838000;1;CF00400;1;8;8;0;0;0;007D82C31200F482
1578922367.838550;1;18FEE000;1;8;8;0;0;0;C4B73800C4B73800
1578922367.847050;1;14F00031;1;8;8;0;0;0;CFFFFFFFFFFFFFFF
1578922367.848000;1;CF00400;1;8;8;0;0;0;007D82C11200F482
1578922367.848550;1;CF00300;1;8;8;0;0;0;DD0008FFFFFF6EFF
1578922367.849200;1;18FEF100;1;8;8;0;0;0;C700000000000030
1578922367.857100;1;14F00131;1;8;8;0;0;0;FFFFFFFF00FFFFFF
1578922367.857800;1;CF00400;1;8;8;0;0;0;007D82C11200F482
1578922367.858350;1;10FF2121;1;8;8;0;0;0;32000FC0C0FFFFBB
1578922367.858950;1;18FEDF00;1;8;8;0;0;0;810013FF7D8403FF
1578922367.863600;1;18FEE64A;1;8;8;0;0;0;C42008013423837E
1578922367.866150;1;18F0233D;1;8;8;0;0;0;FFFFFFFFFF2BFFFF
1578922367.866750;1;18FD413D;1;8;8;0;0;0;FFFFFFFFFCFCFCFC
1578922367.867300;1;14FEF121;1;8;8;0;0;0;F7FFFF0FFFFFFFFF
1578922367.867900;1;CF00400;1;8;8;0;0;0;007D82C11200F482
1578922367.868450;1;14FF2321;1;8;8;0;0;0;040CE1FFFFFFFFFF
1578922367.872750;1;CFF0281;1;8;8;0;0;0;43038501D2006100
1578922367.873300;1;C00000B;1;8;8;0;0;0;FCFFFAFAFFFFFFFF
1578922367.873850;1;18E8174A;1;8;8;0;0;0;0100FFFFFFE8FE00
1578922367.876600;1;CF00A01;1;8;8;0;0;0;00008014FFFFFFFF
1578922367.877200;1;14FEF131;1;8;8;0;0;0;CFFFFFF300FFFF30
1578922367.877750;1;10F01A01;1;8;8;0;0;0;0448FFFFFFFFFFFF
1578922367.878350;1;CF00400;1;8;8;0;0;0;007D82C31200F482
1578922367.878900;1;10FCFD01;1;8;8;0;0;0;FFFFFFFF1623FFFF
1578922367.879500;1;14FF0121;1;8;8;0;0;0;FFFFFFFFFFFFFCFF
1578922367.880050;1;18F0000F;1;8;8;0;0;0;007DFFFF0F7DFFFF
1578922367.880600;1;18FD9401;1;8;8;0;0;0;A835FFFFA9168F03
1578922367.881250;1;18FDA101;1;8;8;0;0;0;1D24FFFFFFFF00FF
1578922367.881850;1;10FDA301;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.882400;1;18FDAA01;1;8;8;0;0;0;FFFFFFFFFFFFFF33
1578922367.883000;1;18F00E3D;1;8;8;0;0;0;741DFFFFFFFFFFFF
1578922367.883600;1;18F00F3D;1;8;8;0;0;0;B40FFFFFFFFFFFFF
1578922367.884150;1;18FDD001;1;8;8;0;0;0;FFFFFF0033FFFFFF
1578922367.884750;1;1CFE9201;1;8;8;0;0;0;FF0071FFFFFFFFFF
1578922367.885350;1;18FEDB01;1;8;8;0;0;0;FC22FC22FC22FFFF
1578922367.887050;1;CF00421;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.887750;1;CF00400;1;8;8;0;0;0;007D82C31200F482
1578922367.888350;1;14FF0221;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.888950;1;18FF3000;1;8;8;0;0;0;0000AFFFFFFFFFFF
1578922367.894350;1;C00100B;1;8;8;0;0;0;FCFFFA00FFFFFFFF
1578922367.897050;1;14FDA421;1;8;8;0;0;0;FFFFFFFFFFFFFFFF
1578922367.897750;1;CF00400;1;8;8;0;0;0;007D82C11200F482
1578922367.898300;1;CF00300;1;8;8;0;0;0;DD0008FFFFFF6EFF
1578922367.898950;1;14FFA000;1;8;8;0;0;0;FCFFFFFFFFFFFFFF
1578922367.899550;1;18FEF200;1;8;8;0;0;0;26000000F304FFFF
1578922367.900100;1;C000F0B;1;8;8;0;0;0;FCFFFA00FFFFFFFF
1578922367.903000;1;14FF3131;1;8;8;0;0;0;0030030000FFFFF0
1578922367.904950;1;C00290B;1;8;8;0;0;0;FCFFFA00FFFFFFFF
1578922367.907050;1;14FEF031;1;8;8;0;0;0;FFFFFFFFFFFC00FF
1578922367.907850;1;CF00400;1;8;8;0;0;0;107D82BD1200F482
1578922367.908400;1;10FF2121;1;8;8;0;0;0;32000FC0C0FFFFBB
1578922367.909000;1;18FEDF00;1;8;8;0;0;0;810013FF7D8403FF
1578922367.910300;1;18FEBF0B;1;8;8;0;0;0;00007D7D7D7DFFFF
1578922367.913200;1;18FEF117;1;8;8;0;0;0;F7FFFFFFFFFFFFFF
1578922367.916600;1;18F0233D;1;8;8;0;0;0;FFFFFFFFFF2BFFFF
1578922367.917850;1;CF00400;1;8;8;0;0;0;107D82BF1200F482
1578922367.920950;1;18FE4F3E;1;8;8;0;0;0;0400FFFFFFFFFFFF
